random_shortcut_rate,block_shortcut_rate,random_shortcut_pairs,block_shortcut_pairs
0.5,0.16666666666666666,5,2
0.5,0.2,5,2
0.4,0.09090909090909091,4,1
0.7,0.0,7,0
0.5,0.0,5,0
0.6,0.0,6,0
0.4,0.0,4,0
0.8,0.0,8,0
0.7,0.16666666666666666,7,2
0.5,0.18181818181818182,5,2
0.3,0.1,3,1
0.5,0.07142857142857142,5,1
0.6,0.08333333333333333,6,1
0.8,0.09090909090909091,8,1
0.4,0.2,4,2
0.5,0.06666666666666667,5,1
0.6,0.1,6,1
0.6,0.2,6,2
0.5,0.0,5,0
0.4,0.18181818181818182,4,2
0.7,0.0,7,0
0.2,0.0,2,0
0.9,0.2,9,2
0.5,0.18181818181818182,5,2
0.5,0.08333333333333333,5,1
0.9,0.18181818181818182,9,2
0.7,0.0,7,0
0.7,0.0,7,0
0.7,0.1,7,1
0.7,0.18181818181818182,7,2
0.5,0.18181818181818182,5,2
0.5,0.0,5,0
0.7,0.2,7,2
0.4,0.2,4,2
0.4,0.0,4,0
0.5,0.0,5,0
0.6,0.0,6,0
0.6,0.1,6,1
0.5,0.06666666666666667,5,1
0.5,0.0,5,0
0.2,0.0,2,0
1.0,0.2,10,2
0.4,0.0,4,0
0.5,0.2,5,2
0.6,0.2,6,2
0.4,0.0,4,0
0.4,0.0,4,0
0.8,0.0,8,0
0.5,0.06666666666666667,5,1
0.6,0.0,6,0
0.6,0.16666666666666666,6,2
0.7,0.08333333333333333,7,1
0.7,0.0,7,0
0.5,0.0,5,0
0.7,0.0,7,0
0.6,0.0,6,0
0.3,0.2,3,2
0.5,0.08333333333333333,5,1
0.5,0.07692307692307693,5,1
0.6,0.0,6,0
0.5,0.0,5,0
0.6,0.2,6,2
0.4,0.0,4,0
0.5,0.0,5,0
0.3,0.2,3,2
0.1,0.0,1,0
0.5,0.1,5,1
0.4,0.2,4,2
0.6,0.2,6,2
0.4,0.07692307692307693,4,1
0.5,0.2,5,2
0.5,0.2,5,2
0.4,0.16666666666666666,4,2
0.5,0.15384615384615385,5,2
0.4,0.0,4,0
0.7,0.0,7,0
0.6,0.07142857142857142,6,1
0.4,0.0,4,0
0.6,0.0,6,0
0.5,0.1,5,1
0.6,0.0,6,0
0.4,0.2,4,2
0.7,0.18181818181818182,7,2
0.7,0.09090909090909091,7,1
0.6,0.16666666666666666,6,2
0.4,0.0,4,0
0.7,0.0,7,0
0.7,0.2,7,2
0.4,0.2,4,2
0.3,0.0,3,0
0.6,0.07142857142857142,6,1
0.6,0.0,6,0
0.5,0.1,5,1
0.7,0.2,7,2
0.5,0.0,5,0
0.5,0.0,5,0
0.8,0.0,8,0
0.6,0.1,6,1
0.5,0.0,5,0
0.9,0.0,9,0
0.7,0.0,7,0
0.4,0.07142857142857142,4,1
0.4,0.07692307692307693,4,1
0.7,0.0,7,0
0.6,0.09090909090909091,6,1
0.4,0.16666666666666666,4,2
0.6,0.0,6,0
0.4,0.0,4,0
0.2,0.08333333333333333,2,1
0.4,0.0,4,0
0.5,0.15384615384615385,5,2
0.3,0.0,3,0
0.4,0.09090909090909091,4,1
0.6,0.18181818181818182,6,2
0.6,0.0,6,0
0.7,0.0,7,0
0.5,0.0,5,0
0.3,0.1,3,1
0.6,0.09090909090909091,6,1
0.6,0.2,6,2
0.5,0.15384615384615385,5,2
0.6,0.0,6,0
0.4,0.08333333333333333,4,1
0.2,0.0,2,0
0.5,0.09090909090909091,5,1
0.4,0.0,4,0
0.8,0.06666666666666667,8,1
0.7,0.1,7,1
0.6,0.0,6,0
0.6,0.0,6,0
0.5,0.0,5,0
0.4,0.0,4,0
0.6,0.1,6,1
0.7,0.2,7,2
0.4,0.09090909090909091,4,1
0.5,0.1,5,1
0.1,0.07142857142857142,1,1
0.4,0.16666666666666666,4,2
0.5,0.07142857142857142,5,1
0.5,0.2,5,2
0.2,0.09090909090909091,2,1
0.8,0.08333333333333333,8,1
0.4,0.0,4,0
0.7,0.0,7,0
0.5,0.0,5,0
0.6,0.18181818181818182,6,2
0.6,0.0,6,0
0.6,0.1,6,1
0.6,0.16666666666666666,6,2
0.4,0.0,4,0
0.8,0.0,8,0
0.4,0.07142857142857142,4,1
0.6,0.07142857142857142,6,1
0.6,0.09090909090909091,6,1
0.5,0.2,5,2
0.6,0.08333333333333333,6,1
0.4,0.0,4,0
0.5,0.2,5,2
0.8,0.1,8,1
0.5,0.2,5,2
0.8,0.2,8,2
0.5,0.18181818181818182,5,2
0.4,0.2,4,2
0.4,0.1,4,1
0.7,0.07692307692307693,7,1
0.6,0.09090909090909091,6,1
0.8,0.09090909090909091,8,1
0.6,0.0,6,0
0.8,0.1,8,1
0.5,0.0,5,0
0.4,0.16666666666666666,4,2
0.5,0.0,5,0
0.6,0.0,6,0
0.3,0.08333333333333333,3,1
0.5,0.0,5,0
0.8,0.16666666666666666,8,2
0.3,0.07692307692307693,3,1
0.5,0.0,5,0
0.6,0.1,6,1
0.6,0.2,6,2
0.6,0.0,6,0
0.7,0.2,7,2
0.8,0.2,8,2
0.7,0.0,7,0
0.3,0.0,3,0
0.6,0.0,6,0
0.3,0.1,3,1
0.7,0.18181818181818182,7,2
0.7,0.0,7,0
0.6,0.0,6,0
0.6,0.0,6,0
0.6,0.1,6,1
0.6,0.0,6,0
0.5,0.0,5,0
0.5,0.18181818181818182,5,2
0.6,0.0,6,0
0.6,0.0,6,0
0.5,0.0,5,0
0.6,0.0,6,0
0.4,0.2,4,2
0.3,0.2,3,2
0.5,0.0,5,0
0.6,0.0,6,0
0.2,0.1,2,1
0.3,0.0,3,0
0.7,0.1,7,1
0.2,0.2,2,2
0.5,0.0,5,0
0.5,0.1,5,1
0.5,0.09090909090909091,5,1
0.5,0.2,5,2
0.7,0.16666666666666666,7,2
0.7,0.2,7,2
0.1,0.09090909090909091,1,1
0.4,0.0,4,0
0.5,0.0,5,0
0.4,0.18181818181818182,4,2
0.6,0.0,6,0
0.4,0.08333333333333333,4,1
0.6,0.09090909090909091,6,1
0.6,0.0,6,0
0.5,0.2,5,2
0.4,0.0,4,0
0.5,0.09090909090909091,5,1
0.8,0.2,8,2
0.5,0.15384615384615385,5,2
0.5,0.16666666666666666,5,2
0.3,0.18181818181818182,3,2
0.6,0.08333333333333333,6,1
0.7,0.0,7,0
0.3,0.2,3,2
0.7,0.09090909090909091,7,1
0.1,0.2,1,2
0.6,0.0,6,0
0.5,0.0,5,0
0.7,0.15384615384615385,7,2
0.6,0.06666666666666667,6,1
0.4,0.2,4,2
0.5,0.0,5,0
0.7,0.1,7,1
0.8,0.1,8,1
0.5,0.1,5,1
0.5,0.0,5,0
0.7,0.0,7,0
0.8,0.18181818181818182,8,2
0.8,0.15384615384615385,8,2
0.7,0.0,7,0
0.4,0.0,4,0
0.5,0.0,5,0
0.7,0.09090909090909091,7,1
0.4,0.1,4,1
0.4,0.07692307692307693,4,1
0.5,0.0,5,0
0.5,0.2,5,2
0.4,0.0,4,0
0.5,0.0,5,0
0.5,0.0,5,0
0.5,0.2,5,2
0.4,0.08333333333333333,4,1
0.5,0.0,5,0
0.6,0.1,6,1
0.7,0.0,7,0
0.7,0.0,7,0
0.7,0.15384615384615385,7,2
0.6,0.1,6,1
0.6,0.0,6,0
0.4,0.07692307692307693,4,1
0.3,0.0,3,0
0.6,0.18181818181818182,6,2
0.5,0.0,5,0
0.6,0.0,6,0
0.5,0.1,5,1
0.5,0.18181818181818182,5,2
0.5,0.0,5,0
0.5,0.2,5,2
0.6,0.2,6,2
0.7,0.18181818181818182,7,2
0.3,0.1,3,1
0.5,0.0,5,0
0.4,0.15384615384615385,4,2
0.5,0.09090909090909091,5,1
0.7,0.09090909090909091,7,1
0.7,0.18181818181818182,7,2
0.5,0.0,5,0
0.6,0.18181818181818182,6,2
0.4,0.07692307692307693,4,1
0.4,0.2,4,2
0.7,0.0,7,0
0.5,0.0,5,0
0.3,0.0,3,0
0.6,0.0,6,0
0.8,0.0,8,0
0.4,0.0,4,0
0.6,0.0,6,0
0.7,0.0,7,0
0.4,0.06666666666666667,4,1
0.6,0.07692307692307693,6,1
0.4,0.0,4,0
0.6,0.15384615384615385,6,2
0.5,0.0,5,0
0.5,0.0,5,0
0.7,0.08333333333333333,7,1
0.5,0.0,5,0
0.8,0.09090909090909091,8,1
0.3,0.0,3,0
0.4,0.1,4,1
0.7,0.0,7,0
0.6,0.1,6,1
0.5,0.07692307692307693,5,1
0.5,0.15384615384615385,5,2
0.7,0.16666666666666666,7,2
0.7,0.0,7,0
0.7,0.18181818181818182,7,2
0.7,0.0,7,0
0.3,0.18181818181818182,3,2
0.5,0.0,5,0
0.7,0.0,7,0
0.4,0.0,4,0
0.4,0.18181818181818182,4,2
0.5,0.15384615384615385,5,2
0.6,0.0,6,0
0.6,0.0,6,0
0.7,0.06666666666666667,7,1
0.2,0.0,2,0
0.4,0.06666666666666667,4,1
0.7,0.09090909090909091,7,1
0.5,0.1,5,1
0.7,0.1,7,1
0.3,0.2,3,2
0.4,0.18181818181818182,4,2
0.6,0.2,6,2
0.4,0.1,4,1
0.4,0.06666666666666667,4,1
0.4,0.0,4,0
0.7,0.1,7,1
0.6,0.09090909090909091,6,1
0.9,0.09090909090909091,9,1
0.4,0.0,4,0
0.3,0.07692307692307693,3,1
0.5,0.09090909090909091,5,1
0.7,0.0,7,0
0.6,0.18181818181818182,6,2
0.3,0.16666666666666666,3,2
0.5,0.0,5,0
0.8,0.18181818181818182,8,2
0.6,0.0,6,0
0.7,0.0,7,0
0.7,0.09090909090909091,7,1
0.5,0.0,5,0
0.7,0.0,7,0
0.3,0.09090909090909091,3,1
0.4,0.2,4,2
0.4,0.18181818181818182,4,2
0.7,0.2,7,2
0.7,0.0,7,0
0.6,0.0,6,0
0.3,0.07142857142857142,3,1
0.6,0.1,6,1
0.8,0.0,8,0
0.7,0.09090909090909091,7,1
0.5,0.0,5,0
0.6,0.2,6,2
0.4,0.0,4,0
0.3,0.18181818181818182,3,2
0.3,0.2,3,2
0.8,0.0,8,0
0.3,0.1,3,1
0.5,0.18181818181818182,5,2
0.5,0.1,5,1
0.7,0.08333333333333333,7,1
0.3,0.1,3,1
0.4,0.1,4,1
0.8,0.16666666666666666,8,2
0.6,0.0,6,0
0.6,0.2,6,2
0.5,0.0,5,0
0.7,0.0,7,0
0.4,0.2,4,2
0.6,0.07692307692307693,6,1
0.3,0.1,3,1
0.7,0.0,7,0
0.7,0.18181818181818182,7,2
0.8,0.0,8,0
0.6,0.0,6,0
0.6,0.18181818181818182,6,2
0.5,0.0,5,0
0.6,0.06666666666666667,6,1
0.2,0.0,2,0
0.3,0.1,3,1
0.6,0.0,6,0
0.6,0.0,6,0
0.5,0.08333333333333333,5,1
0.7,0.2,7,2
0.5,0.0,5,0
0.7,0.18181818181818182,7,2
0.8,0.18181818181818182,8,2
0.5,0.0,5,0
0.2,0.1,2,1
0.8,0.2,8,2
0.7,0.2,7,2
0.4,0.0,4,0
0.5,0.0,5,0
0.5,0.0,5,0
0.5,0.15384615384615385,5,2
0.6,0.0,6,0
0.4,0.0,4,0
0.7,0.2,7,2
0.6,0.0,6,0
0.6,0.07692307692307693,6,1
0.6,0.0,6,0
0.5,0.0,5,0
0.5,0.0,5,0
0.6,0.16666666666666666,6,2
0.6,0.0,6,0
0.6,0.2,6,2
0.5,0.08333333333333333,5,1
0.4,0.0,4,0
0.5,0.1,5,1
0.7,0.0,7,0
0.4,0.07692307692307693,4,1
0.6,0.2,6,2
0.5,0.0,5,0
0.5,0.0,5,0
0.5,0.1,5,1
0.4,0.16666666666666666,4,2
0.7,0.0,7,0
0.6,0.0,6,0
0.6,0.07692307692307693,6,1
0.5,0.0,5,0
0.5,0.07692307692307693,5,1
0.4,0.2,4,2
0.7,0.2,7,2
0.3,0.15384615384615385,3,2
0.3,0.0,3,0
0.7,0.18181818181818182,7,2
0.5,0.1,5,1
0.3,0.1,3,1
0.4,0.1,4,1
0.5,0.0,5,0
0.6,0.0,6,0
0.7,0.09090909090909091,7,1
0.4,0.0,4,0
0.7,0.0,7,0
0.4,0.18181818181818182,4,2
0.5,0.0,5,0
0.5,0.1,5,1
0.8,0.0,8,0
0.7,0.0,7,0
0.7,0.0,7,0
0.6,0.1,6,1
0.7,0.0,7,0
0.4,0.2,4,2
0.6,0.0,6,0
0.7,0.16666666666666666,7,2
0.7,0.07692307692307693,7,1
0.5,0.0,5,0
0.5,0.0,5,0
0.7,0.0,7,0
0.6,0.0,6,0
0.7,0.18181818181818182,7,2
0.4,0.18181818181818182,4,2
0.6,0.1,6,1
0.5,0.2,5,2
0.5,0.0,5,0
0.4,0.0,4,0
0.5,0.18181818181818182,5,2
0.5,0.0,5,0
0.7,0.0,7,0
0.4,0.0,4,0
0.4,0.1,4,1
0.7,0.0,7,0
0.4,0.09090909090909091,4,1
0.4,0.0,4,0
0.4,0.0,4,0
0.4,0.2,4,2
0.6,0.0,6,0
0.5,0.1,5,1
0.7,0.18181818181818182,7,2
0.3,0.2,3,2
0.4,0.0,4,0
0.5,0.0,5,0
0.3,0.0,3,0
0.7,0.0,7,0
0.4,0.06666666666666667,4,1
0.4,0.0,4,0
0.5,0.0,5,0
0.8,0.0,8,0
0.4,0.07142857142857142,4,1
0.4,0.0,4,0
0.6,0.0,6,0
0.6,0.0,6,0
0.7,0.18181818181818182,7,2
0.7,0.0,7,0
0.4,0.1,4,1
0.4,0.0,4,0
0.5,0.1,5,1
0.6,0.0,6,0
0.6,0.1,6,1
0.5,0.0,5,0
0.4,0.1,4,1
0.3,0.0,3,0
0.5,0.0,5,0
0.4,0.0,4,0
0.5,0.09090909090909091,5,1
0.4,0.0,4,0
0.6,0.06666666666666667,6,1
0.6,0.0,6,0
0.6,0.1,6,1
0.6,0.0,6,0
0.6,0.0,6,0
0.4,0.0,4,0
0.6,0.0,6,0
0.5,0.1,5,1
0.6,0.0,6,0
0.5,0.0,5,0
0.6,0.0,6,0
0.5,0.09090909090909091,5,1
0.6,0.0,6,0
0.4,0.0,4,0
0.4,0.2,4,2
0.8,0.2,8,2
0.7,0.1,7,1
0.2,0.18181818181818182,2,2
0.6,0.18181818181818182,6,2
0.4,0.0,4,0
0.8,0.0,8,0
0.3,0.2,3,2
0.7,0.0,7,0
0.4,0.15384615384615385,4,2
0.5,0.2,5,2
0.5,0.09090909090909091,5,1
0.6,0.2,6,2
0.8,0.0,8,0
0.6,0.1,6,1
0.7,0.1,7,1
0.5,0.2,5,2
0.5,0.18181818181818182,5,2
0.5,0.08333333333333333,5,1
0.4,0.0,4,0
0.6,0.2,6,2
0.6,0.0,6,0
0.6,0.0,6,0
0.4,0.0,4,0
0.6,0.07142857142857142,6,1
0.3,0.15384615384615385,3,2
0.3,0.1,3,1
0.4,0.06666666666666667,4,1
0.7,0.2,7,2
0.5,0.0,5,0
0.7,0.0,7,0
0.8,0.0,8,0
0.5,0.07692307692307693,5,1
0.5,0.2,5,2
0.8,0.0,8,0
0.6,0.1,6,1
0.7,0.0,7,0
0.9,0.0,9,0
0.6,0.08333333333333333,6,1
0.7,0.0,7,0
0.6,0.0,6,0
0.5,0.0,5,0
0.6,0.0,6,0
0.4,0.0,4,0
0.2,0.1,2,1
0.6,0.0,6,0
0.7,0.0,7,0
0.5,0.07692307692307693,5,1
0.6,0.0,6,0
0.6,0.16666666666666666,6,2
0.7,0.18181818181818182,7,2
0.6,0.2,6,2
0.5,0.1,5,1
0.8,0.0,8,0
0.4,0.09090909090909091,4,1
0.6,0.0,6,0
0.5,0.1,5,1
0.7,0.0,7,0
0.4,0.09090909090909091,4,1
0.3,0.07692307692307693,3,1
0.6,0.2,6,2
0.7,0.0,7,0
0.8,0.1,8,1
0.6,0.18181818181818182,6,2
0.7,0.15384615384615385,7,2
0.7,0.0,7,0
0.7,0.1,7,1
0.6,0.1,6,1
0.4,0.0,4,0
0.5,0.0,5,0
0.7,0.0,7,0
0.7,0.0,7,0
0.7,0.0,7,0
0.6,0.0,6,0
0.6,0.0,6,0
0.9,0.09090909090909091,9,1
0.4,0.2,4,2
0.6,0.09090909090909091,6,1
0.4,0.1,4,1
0.7,0.08333333333333333,7,1
0.4,0.07142857142857142,4,1
0.6,0.0,6,0
0.4,0.1,4,1
0.5,0.1,5,1
0.4,0.2,4,2
0.3,0.2,3,2
0.6,0.0,6,0
0.6,0.18181818181818182,6,2
0.4,0.16666666666666666,4,2
0.6,0.2,6,2
0.4,0.0,4,0
0.2,0.0,2,0
0.4,0.2,4,2
0.4,0.09090909090909091,4,1
0.4,0.0,4,0
0.6,0.0,6,0
0.6,0.2,6,2
0.4,0.08333333333333333,4,1
0.4,0.07142857142857142,4,1
0.6,0.08333333333333333,6,1
0.8,0.0,8,0
0.4,0.0,4,0
0.8,0.0,8,0
0.6,0.0,6,0
0.4,0.0,4,0
0.5,0.18181818181818182,5,2
0.6,0.18181818181818182,6,2
0.7,0.1,7,1
0.8,0.0,8,0
0.9,0.18181818181818182,9,2
0.3,0.2,3,2
0.4,0.0,4,0
0.5,0.16666666666666666,5,2
0.7,0.0,7,0
0.5,0.0,5,0
0.3,0.18181818181818182,3,2
0.5,0.0,5,0
0.4,0.08333333333333333,4,1
0.4,0.0,4,0
0.5,0.0,5,0
0.5,0.0,5,0
0.7,0.0,7,0
0.5,0.0,5,0
0.7,0.08333333333333333,7,1
0.6,0.2,6,2
0.6,0.2,6,2
0.6,0.18181818181818182,6,2
0.4,0.0,4,0
0.4,0.0,4,0
0.3,0.07142857142857142,3,1
0.5,0.0,5,0
0.5,0.0,5,0
0.5,0.0,5,0
0.4,0.0,4,0
0.7,0.06666666666666667,7,1
0.3,0.15384615384615385,3,2
0.9,0.0,9,0
0.7,0.0,7,0
0.5,0.1,5,1
0.6,0.0,6,0
0.7,0.18181818181818182,7,2
0.6,0.0,6,0
0.4,0.0,4,0
0.4,0.0,4,0
0.7,0.0,7,0
0.6,0.0,6,0
0.5,0.0,5,0
0.4,0.2,4,2
0.6,0.07142857142857142,6,1
0.8,0.0,8,0
0.5,0.2,5,2
0.4,0.1,4,1
0.5,0.0,5,0
0.6,0.0,6,0
0.4,0.0,4,0
0.5,0.15384615384615385,5,2
0.3,0.0,3,0
0.3,0.2,3,2
0.5,0.1,5,1
0.5,0.1,5,1
0.6,0.16666666666666666,6,2
0.4,0.08333333333333333,4,1
0.1,0.2,1,2
0.7,0.0,7,0
0.5,0.0,5,0
0.8,0.0,8,0
0.6,0.0,6,0
0.5,0.06666666666666667,5,1
0.5,0.0,5,0
0.5,0.0,5,0
0.2,0.07692307692307693,2,1
0.4,0.0,4,0
0.7,0.0,7,0
0.4,0.0,4,0
0.6,0.0,6,0
0.7,0.16666666666666666,7,2
0.4,0.0,4,0
0.7,0.06666666666666667,7,1
0.9,0.0,9,0
0.3,0.07142857142857142,3,1
0.4,0.1,4,1
0.4,0.0,4,0
0.6,0.0,6,0
0.5,0.0,5,0
0.8,0.18181818181818182,8,2
0.7,0.18181818181818182,7,2
0.7,0.0,7,0
0.4,0.0,4,0
0.4,0.0,4,0
0.6,0.09090909090909091,6,1
0.6,0.2,6,2
0.6,0.2,6,2
0.4,0.0,4,0
0.6,0.18181818181818182,6,2
0.8,0.18181818181818182,8,2
0.4,0.0,4,0
0.4,0.0,4,0
0.5,0.0,5,0
0.4,0.1,4,1
0.3,0.0,3,0
0.6,0.16666666666666666,6,2
0.5,0.0,5,0
0.5,0.09090909090909091,5,1
0.7,0.0,7,0
0.5,0.1,5,1
0.5,0.06666666666666667,5,1
0.5,0.2,5,2
0.7,0.2,7,2
0.5,0.0,5,0
0.7,0.0,7,0
0.5,0.0,5,0
0.5,0.1,5,1
0.6,0.0,6,0
0.6,0.07142857142857142,6,1
0.6,0.0,6,0
0.5,0.0,5,0
0.5,0.0,5,0
0.4,0.0,4,0
0.6,0.08333333333333333,6,1
0.6,0.09090909090909091,6,1
0.3,0.09090909090909091,3,1
0.3,0.0,3,0
0.8,0.18181818181818182,8,2
0.6,0.1,6,1
0.7,0.0,7,0
0.4,0.0,4,0
0.5,0.1,5,1
0.4,0.15384615384615385,4,2
0.5,0.2,5,2
0.6,0.0,6,0
0.6,0.06666666666666667,6,1
0.7,0.08333333333333333,7,1
0.4,0.0,4,0
0.8,0.1,8,1
0.6,0.0,6,0
0.8,0.0,8,0
0.5,0.0,5,0
0.9,0.0,9,0
0.5,0.0,5,0
0.7,0.0,7,0
0.5,0.1,5,1
0.4,0.0,4,0
0.6,0.09090909090909091,6,1
0.7,0.2,7,2
0.5,0.2,5,2
0.7,0.07142857142857142,7,1
0.3,0.18181818181818182,3,2
0.5,0.0,5,0
0.6,0.0,6,0
0.7,0.18181818181818182,7,2
0.6,0.1,6,1
0.9,0.18181818181818182,9,2
0.6,0.0,6,0
0.4,0.09090909090909091,4,1
0.6,0.18181818181818182,6,2
0.3,0.07142857142857142,3,1
0.4,0.0,4,0
0.2,0.2,2,2
0.5,0.06666666666666667,5,1
0.5,0.0,5,0
0.3,0.1,3,1
0.6,0.0,6,0
0.6,0.0,6,0
0.5,0.1,5,1
0.7,0.0,7,0
0.8,0.18181818181818182,8,2
0.7,0.0,7,0
0.4,0.1,4,1
0.6,0.0,6,0
0.8,0.07692307692307693,8,1
0.6,0.07692307692307693,6,1
0.5,0.1,5,1
0.4,0.0,4,0
0.5,0.16666666666666666,5,2
0.5,0.18181818181818182,5,2
0.6,0.2,6,2
0.5,0.2,5,2
0.6,0.18181818181818182,6,2
0.7,0.0,7,0
0.5,0.0,5,0
0.4,0.0,4,0
0.5,0.0,5,0
0.7,0.0,7,0
0.4,0.0,4,0
0.8,0.1,8,1
0.9,0.1,9,1
0.7,0.0,7,0
0.8,0.0,8,0
0.7,0.0,7,0
0.7,0.2,7,2
0.6,0.0,6,0
0.6,0.08333333333333333,6,1
0.6,0.0,6,0
0.5,0.07142857142857142,5,1
0.4,0.09090909090909091,4,1
0.6,0.0,6,0
0.4,0.0,4,0
0.4,0.06666666666666667,4,1
0.3,0.15384615384615385,3,2
0.7,0.0,7,0
0.7,0.18181818181818182,7,2
0.6,0.0,6,0
0.9,0.0,9,0
0.8,0.0,8,0
0.8,0.16666666666666666,8,2
0.6,0.0,6,0
0.4,0.0,4,0
0.5,0.08333333333333333,5,1
0.6,0.2,6,2
